year,data_mean_global
249,279.928
250,279.952
251,279.974
252,279.987
253,279.994
254,279.998
255,280.007
256,280.012
257,280.031
258,280.039
259,280.046
260,280.059
261,280.056
262,280.07
263,280.073
264,280.076
265,280.086
266,280.097
267,280.109
268,280.123
269,280.122
270,280.142
271,280.15
272,280.161
273,280.172
274,280.181
275,280.187
276,280.197
277,280.207
278,280.204
279,280.216
280,280.213
281,280.222
282,280.228
283,280.23
284,280.231
285,280.235
286,280.245
287,280.242
288,280.243
289,280.237
290,280.242
291,280.235
292,280.243
293,280.233
294,280.235
295,280.236
296,280.24
297,280.225
298,280.211
299,280.206
300,280.209
301,280.211
302,280.21
303,280.207
304,280.206
305,280.208
306,280.203
307,280.196
308,280.197
309,280.196
310,280.193
311,280.19
312,280.192
313,280.171
314,280.169
315,280.157
316,280.156
317,280.148
318,280.14
319,280.126
320,280.125
321,280.118
322,280.11
323,280.101
324,280.087
325,280.08
326,280.088
327,280.087
328,280.08
329,280.065
330,280.057
331,280.048
332,280.035
333,280.025
334,280.007
335,279.993
336,279.975
337,279.965
338,279.949
339,279.926
340,279.919
341,279.89
342,279.875
343,279.85
344,279.833
345,279.827
346,279.813
347,279.806
348,279.788
349,279.78
350,279.761
351,279.752
352,279.734
353,279.726
354,279.717
355,279.7
356,279.668
357,279.644
358,279.614
359,279.588
360,279.559
361,279.532
362,279.496
363,279.466
364,279.441
365,279.42
366,279.4
367,279.373
368,279.351
369,279.331
370,279.307
371,279.276
372,279.249
373,279.223
374,279.22
375,279.206
376,279.194
377,279.181
378,279.167
379,279.144
380,279.137
381,279.114
382,279.108
383,279.097
384,279.086
385,279.071
386,279.055
387,279.037
388,279.017
389,279.017
390,279.006
391,278.987
392,278.98
393,278.974
394,278.96
395,278.942
396,278.938
397,278.906
398,278.884
399,278.88
400,278.864
401,278.846
402,278.833
403,278.832
404,278.835
405,278.84
406,278.836
407,278.839
408,278.84
409,278.829
410,278.821
411,278.814
412,278.817
413,278.804
414,278.789
415,278.775
416,278.76
417,278.754
418,278.719
419,278.703
420,278.692
421,278.67
422,278.655
423,278.641
424,278.627
425,278.608
426,278.593
427,278.572
428,278.558
429,278.544
430,278.522
431,278.498
432,278.473
433,278.455
434,278.426
435,278.396
436,278.369
437,278.351
438,278.313
439,278.287
440,278.268
441,278.251
442,278.232
443,278.226
444,278.22
445,278.19
446,278.18
447,278.151
448,278.137
449,278.119
450,278.102
451,278.083
452,278.051
453,278.026
454,278.01
455,277.985
456,277.971
457,277.949
458,277.925
459,277.897
460,277.883
461,277.865
462,277.845
463,277.816
464,277.8
465,277.777
466,277.759
467,277.738
468,277.713
469,277.693
470,277.674
471,277.644
472,277.629
473,277.611
474,277.59
475,277.561
476,277.533
477,277.517
478,277.496
479,277.485
480,277.48
481,277.464
482,277.459
483,277.449
484,277.444
485,277.427
486,277.401
487,277.378
488,277.37
489,277.353
490,277.348
491,277.331
492,277.311
493,277.299
494,277.277
495,277.264
496,277.258
497,277.239
498,277.235
499,277.217
500,277.206
501,277.192
502,277.186
503,277.172
504,277.158
505,277.141
506,277.137
507,277.122
508,277.116
509,277.11
510,277.099
511,277.084
512,277.072
513,277.063
514,277.052
515,277.048
516,277.041
517,277.033
518,277.026
519,277.024
520,277.015
521,277.01
522,277.009
523,277.004
524,277.011
525,277.012
526,277.015
527,277.016
528,277.013
529,277.014
530,277.013
531,277.013
532,277.036
533,277.045
534,277.053
535,277.056
536,277.055
537,277.063
538,277.057
539,277.057
540,277.074
541,277.07
542,277.076
543,277.092
544,277.094
545,277.095
546,277.109
547,277.112
548,277.112
549,277.13
550,277.136
551,277.125
552,277.122
553,277.114
554,277.131
555,277.127
556,277.124
557,277.123
558,277.131
559,277.131
560,277.132
561,277.146
562,277.139
563,277.139
564,277.14
565,277.148
566,277.146
567,277.146
568,277.153
569,277.15
570,277.146
571,277.155
572,277.161
573,277.159
574,277.169
575,277.173
576,277.178
577,277.181
578,277.191
579,277.194
580,277.198
581,277.212
582,277.226
583,277.241
584,277.262
585,277.277
586,277.292
587,277.303
588,277.323
589,277.335
590,277.347
591,277.366
592,277.381
593,277.403
594,277.425
595,277.43
596,277.436
597,277.446
598,277.47
599,277.488
600,277.508
601,277.514
602,277.529
603,277.55
604,277.576
605,277.591
606,277.605
607,277.619
608,277.636
609,277.656
610,277.674
611,277.687
612,277.702
613,277.722
614,277.744
615,277.773
616,277.789
617,277.807
618,277.826
619,277.851
620,277.873
621,277.886
622,277.91
623,277.93
624,277.956
625,277.973
626,277.982
627,278.009
628,278.028
629,278.05
630,278.071
631,278.089
632,278.106
633,278.119
634,278.145
635,278.16
636,278.171
637,278.185
638,278.189
639,278.204
640,278.222
641,278.237
642,278.253
643,278.266
644,278.281
645,278.295
646,278.307
647,278.318
648,278.333
649,278.351
650,278.362
651,278.383
652,278.392
653,278.403
654,278.414
655,278.427
656,278.437
657,278.446
658,278.456
659,278.462
660,278.479
661,278.49
662,278.501
663,278.509
664,278.525
665,278.528
666,278.539
667,278.556
668,278.571
669,278.581
670,278.589
671,278.595
672,278.601
673,278.608
674,278.626
675,278.637
676,278.64
677,278.649
678,278.66
679,278.665
680,278.674
681,278.683
682,278.689
683,278.697
684,278.716
685,278.726
686,278.735
687,278.741
688,278.755
689,278.769
690,278.781
691,278.799
692,278.799
693,278.81
694,278.814
695,278.824
696,278.828
697,278.832
698,278.84
699,278.85
700,278.861
701,278.874
702,278.882
703,278.89
704,278.901
705,278.903
706,278.91
707,278.92
708,278.927
709,278.936
710,278.952
711,278.958
712,278.963
713,278.974
714,278.982
715,278.989
716,278.998
717,279.004
718,279.009
719,279.014
720,279.025
721,279.03
722,279.036
723,279.041
724,279.049
725,279.051
726,279.055
727,279.063
728,279.07
729,279.073
730,279.081
731,279.088
732,279.098
733,279.108
734,279.115
735,279.115
736,279.122
737,279.121
738,279.127
739,279.131
740,279.137
741,279.142
742,279.146
743,279.154
744,279.161
745,279.172
746,279.178
747,279.193
748,279.203
749,279.207
750,279.213
751,279.214
752,279.227
753,279.231
754,279.234
755,279.247
756,279.258
757,279.268
758,279.273
759,279.278
760,279.288
761,279.294
762,279.296
763,279.301
764,279.303
765,279.306
766,279.311
767,279.313
768,279.32
769,279.322
770,279.324
771,279.328
772,279.327
773,279.326
774,279.324
775,279.327
776,279.333
777,279.345
778,279.349
779,279.347
780,279.343
781,279.341
782,279.342
783,279.338
784,279.341
785,279.337
786,279.335
787,279.328
788,279.326
789,279.316
790,279.316
791,279.311
792,279.308
793,279.295
794,279.294
795,279.294
796,279.288
797,279.282
798,279.277
799,279.28
800,279.274
801,279.272
802,279.273
803,279.273
804,279.276
805,279.281
806,279.283
807,279.285
808,279.293
809,279.295
810,279.298
811,279.302
812,279.303
813,279.305
814,279.307
815,279.311
816,279.313
817,279.315
818,279.32
819,279.319
820,279.324
821,279.325
822,279.326
823,279.326
824,279.323
825,279.323
826,279.321
827,279.322
828,279.323
829,279.326
830,279.326
831,279.326
832,279.324
833,279.329
834,279.324
835,279.325
836,279.323
837,279.327
838,279.329
839,279.334
840,279.334
841,279.334
842,279.339
843,279.349
844,279.349
845,279.352
846,279.349
847,279.349
848,279.352
849,279.355
850,279.353
851,279.355
852,279.352
853,279.352
854,279.35
855,279.348
856,279.346
857,279.349
858,279.348
859,279.347
860,279.351
861,279.345
862,279.347
863,279.348
864,279.347
865,279.336
866,279.326
867,279.317
868,279.314
869,279.312
870,279.308
871,279.306
872,279.303
873,279.285
874,279.276
875,279.269
876,279.259
877,279.252
878,279.238
879,279.227
880,279.224
881,279.216
882,279.204
883,279.191
884,279.185
885,279.17
886,279.158
887,279.147
888,279.148
889,279.14
890,279.129
891,279.122
892,279.109
893,279.098
894,279.086
895,279.078
896,279.07
897,279.055
898,279.045
899,279.038
900,279.021
901,279.015
902,279.002
903,278.994
904,278.989
905,278.981
906,278.961
907,278.95
908,278.938
909,278.93
910,278.918
911,278.909
912,278.899
913,278.894
914,278.883
915,278.871
916,278.866
917,278.857
918,278.849
919,278.831
920,278.817
921,278.804
922,278.792
923,278.784
924,278.772
925,278.768
926,278.753
927,278.742
928,278.74
929,278.723
930,278.713
931,278.704
932,278.696
933,278.684
934,278.679
935,278.673
936,278.658
937,278.649
938,278.644
939,278.639
940,278.63
941,278.622
942,278.617
943,278.611
944,278.615
945,278.624
946,278.63
947,278.635
948,278.635
949,278.64
950,278.652
951,278.653
952,278.661
953,278.672
954,278.699
955,278.708
956,278.719
957,278.727
958,278.735
959,278.75
960,278.757
961,278.763
962,278.775
963,278.787
964,278.796
965,278.81
966,278.82
967,278.839
968,278.854
969,278.89
970,278.907
971,278.923
972,278.949
973,278.96
974,278.963
975,278.972
976,278.978
977,278.986
978,278.996
979,279.006
980,279.008
981,279.024
982,279.038
983,279.057
984,279.069
985,279.092
986,279.115
987,279.148
988,279.169
989,279.183
990,279.201
991,279.217
992,279.241
993,279.262
994,279.278
995,279.294
996,279.314
997,279.339
998,279.358
999,279.382
1000,279.404
1001,279.426
1002,279.448
1003,279.477
1004,279.499
1005,279.524
1006,279.541
1007,279.56
1008,279.579
1009,279.601
1010,279.63
1011,279.661
1012,279.692
1013,279.73
1014,279.76
1015,279.795
1016,279.828
1017,279.86
1018,279.892
1019,279.917
1020,279.949
1021,279.984
1022,280.018
1023,280.052
1024,280.087
1025,280.126
1026,280.164
1027,280.2
1028,280.236
1029,280.276
1030,280.313
1031,280.353
1032,280.395
1033,280.437
1034,280.48
1035,280.514
1036,280.554
1037,280.591
1038,280.632
1039,280.674
1040,280.71
1041,280.754
1042,280.793
1043,280.835
1044,280.876
1045,280.913
1046,280.955
1047,280.991
1048,281.034
1049,281.079
1050,281.128
1051,281.173
1052,281.218
1053,281.273
1054,281.328
1055,281.371
1056,281.418
1057,281.46
1058,281.512
1059,281.557
1060,281.601
1061,281.641
1062,281.685
1063,281.729
1064,281.768
1065,281.802
1066,281.838
1067,281.873
1068,281.91
1069,281.948
1070,281.983
1071,282.023
1072,282.061
1073,282.097
1074,282.133
1075,282.173
1076,282.207
1077,282.245
1078,282.282
1079,282.314
1080,282.35
1081,282.384
1082,282.416
1083,282.45
1084,282.483
1085,282.513
1086,282.547
1087,282.578
1088,282.607
1089,282.647
1090,282.68
1091,282.707
1092,282.738
1093,282.773
1094,282.804
1095,282.832
1096,282.861
1097,282.882
1098,282.915
1099,282.947
1100,282.969
1101,282.996
1102,283.021
1103,283.048
1104,283.077
1105,283.105
1106,283.135
1107,283.167
1108,283.193
1109,283.213
1110,283.232
1111,283.251
1112,283.276
1113,283.306
1114,283.331
1115,283.356
1116,283.38
1117,283.401
1118,283.42
1119,283.448
1120,283.473
1121,283.494
1122,283.517
1123,283.543
1124,283.565
1125,283.587
1126,283.61
1127,283.631
1128,283.655
1129,283.675
1130,283.699
1131,283.719
1132,283.739
1133,283.758
1134,283.779
1135,283.795
1136,283.814
1137,283.836
1138,283.854
1139,283.877
1140,283.893
1141,283.913
1142,283.929
1143,283.948
1144,283.961
1145,283.982
1146,283.999
1147,284.01
1148,284.028
1149,284.048
1150,284.058
1151,284.071
1152,284.096
1153,284.112
1154,284.125
1155,284.131
1156,284.141
1157,284.152
1158,284.158
1159,284.165
1160,284.164
1161,284.164
1162,284.166
1163,284.168
1164,284.169
1165,284.169
1166,284.168
1167,284.164
1168,284.167
1169,284.165
1170,284.165
1171,284.164
1172,284.159
1173,284.164
1174,284.164
1175,284.166
1176,284.165
1177,284.164
1178,284.16
1179,284.157
1180,284.156
1181,284.15
1182,284.145
1183,284.128
1184,284.098
1185,284.07
1186,284.055
1187,284.045
1188,284.022
1189,283.999
1190,283.967
1191,283.942
1192,283.924
1193,283.896
1194,283.876
1195,283.846
1196,283.816
1197,283.797
1198,283.769
1199,283.744
1200,283.726
1201,283.699
1202,283.679
1203,283.661
1204,283.646
1205,283.63
1206,283.611
1207,283.589
1208,283.566
1209,283.545
1210,283.52
1211,283.498
1212,283.473
1213,283.452
1214,283.423
1215,283.4
1216,283.371
1217,283.342
1218,283.311
1219,283.282
1220,283.256
1221,283.225
1222,283.195
1223,283.175
1224,283.152
1225,283.128
1226,283.106
1227,283.089
1228,283.06
1229,283.034
1230,283.014
1231,282.996
1232,282.983
1233,282.954
1234,282.932
1235,282.912
1236,282.889
1237,282.858
1238,282.835
1239,282.815
1240,282.79
1241,282.758
1242,282.724
1243,282.698
1244,282.67
1245,282.643
1246,282.613
1247,282.584
1248,282.551
1249,282.517
1250,282.478
1251,282.446
1252,282.42
1253,282.394
1254,282.359
1255,282.333
1256,282.299
1257,282.273
1258,282.233
1259,282.202
1260,282.173
1261,282.142
1262,282.114
1263,282.086
1264,282.06
1265,282.028
1266,282.004
1267,281.984
1268,281.967
1269,281.94
1270,281.929
1271,281.91
1272,281.888
1273,281.87
1274,281.86
1275,281.844
1276,281.835
1277,281.817
1278,281.799
1279,281.787
1280,281.781
1281,281.774
1282,281.761
1283,281.745
1284,281.722
1285,281.707
1286,281.698
1287,281.686
1288,281.671
1289,281.656
1290,281.635
1291,281.615
1292,281.605
1293,281.596
1294,281.591
1295,281.581
1296,281.575
1297,281.564
1298,281.559
1299,281.554
1300,281.542
1301,281.538
1302,281.53
1303,281.524
1304,281.517
1305,281.512
1306,281.503
1307,281.494
1308,281.487
1309,281.481
1310,281.471
1311,281.454
1312,281.435
1313,281.42
1314,281.394
1315,281.376
1316,281.356
1317,281.328
1318,281.294
1319,281.278
1320,281.259
1321,281.237
1322,281.232
1323,281.217
1324,281.205
1325,281.2
1326,281.197
1327,281.182
1328,281.167
1329,281.167
1330,281.164
1331,281.162
1332,281.156
1333,281.166
1334,281.164
1335,281.172
1336,281.174
1337,281.163
1338,281.16
1339,281.156
1340,281.139
1341,281.117
1342,281.087
1343,281.063
1344,281.046
1345,281.027
1346,281.017
1347,281.014
1348,281.006
1349,280.996
1350,280.99
1351,280.985
1352,280.985
1353,280.986
1354,280.982
1355,280.979
1356,280.97
1357,280.963
1358,280.949
1359,280.934
1360,280.921
1361,280.913
1362,280.899
1363,280.879
1364,280.864
1365,280.834
1366,280.824
1367,280.811
1368,280.798
1369,280.775
1370,280.759
1371,280.746
1372,280.732
1373,280.717
1374,280.705
1375,280.691
1376,280.68
1377,280.67
1378,280.662
1379,280.65
1380,280.638
1381,280.634
1382,280.636
1383,280.636
1384,280.631
1385,280.626
1386,280.63
1387,280.627
1388,280.611
1389,280.602
1390,280.605
1391,280.596
1392,280.585
1393,280.568
1394,280.552
1395,280.54
1396,280.518
1397,280.499
1398,280.483
1399,280.464
1400,280.445
1401,280.425
1402,280.406
1403,280.387
1404,280.376
1405,280.369
1406,280.359
1407,280.358
1408,280.349
1409,280.347
1410,280.344
1411,280.339
1412,280.33
1413,280.324
1414,280.318
1415,280.304
1416,280.298
1417,280.29
1418,280.281
1419,280.274
1420,280.272
1421,280.266
1422,280.263
1423,280.274
1424,280.3
1425,280.304
1426,280.324
1427,280.334
1428,280.376
1429,280.41
1430,280.422
1431,280.427
1432,280.425
1433,280.434
1434,280.438
1435,280.428
1436,280.465
1437,280.487
1438,280.518
1439,280.551
1440,280.579
1441,280.63
1442,280.672
1443,280.716
1444,280.754
1445,280.79
1446,280.829
1447,280.869
1448,280.911
1449,280.951
1450,280.99
1451,281.024
1452,281.058
1453,281.088
1454,281.102
1455,281.109
1456,281.115
1457,281.102
1458,281.11
1459,281.134
1460,281.16
1461,281.179
1462,281.194
1463,281.231
1464,281.265
1465,281.301
1466,281.336
1467,281.378
1468,281.414
1469,281.455
1470,281.47
1471,281.493
1472,281.521
1473,281.559
1474,281.591
1475,281.629
1476,281.659
1477,281.71
1478,281.763
1479,281.824
1480,281.877
1481,281.931
1482,281.99
1483,282.047
1484,282.106
1485,282.164
1486,282.225
1487,282.275
1488,282.329
1489,282.392
1490,282.448
1491,282.501
1492,282.56
1493,282.613
1494,282.67
1495,282.723
1496,282.775
1497,282.831
1498,282.888
1499,282.94
1500,282.996
1501,283.041
1502,283.087
1503,283.136
1504,283.178
1505,283.218
1506,283.248
1507,283.274
1508,283.302
1509,283.333
1510,283.371
1511,283.404
1512,283.436
1513,283.467
1514,283.5
1515,283.529
1516,283.538
1517,283.555
1518,283.558
1519,283.558
1520,283.559
1521,283.548
1522,283.54
1523,283.528
1524,283.513
1525,283.504
1526,283.494
1527,283.483
1528,283.481
1529,283.482
1530,283.472
1531,283.453
1532,283.46
1533,283.458
1534,283.454
1535,283.442
1536,283.429
1537,283.402
1538,283.38
1539,283.339
1540,283.311
1541,283.255
1542,283.208
1543,283.154
1544,283.091
1545,283.034
1546,282.983
1547,282.921
1548,282.866
1549,282.799
1550,282.737
1551,282.687
1552,282.626
1553,282.565
1554,282.495
1555,282.449
1556,282.395
1557,282.334
1558,282.263
1559,282.214
1560,282.147
1561,282.08
1562,282.011
1563,281.93
1564,281.856
1565,281.787
1566,281.713
1567,281.621
1568,281.537
1569,281.461
1570,281.377
1571,281.302
1572,281.229
1573,281.145
1574,281.05
1575,280.956
1576,280.868
1577,280.774
1578,280.68
1579,280.584
1580,280.48
1581,280.382
1582,280.281
1583,280.18
1584,280.083
1585,279.986
1586,279.886
1587,279.784
1588,279.675
1589,279.569
1590,279.467
1591,279.353
1592,279.237
1593,279.117
1594,278.986
1595,278.867
1596,278.731
1597,278.619
1598,278.531
1599,278.44
1600,278.376
1601,278.305
1602,278.217
1603,278.14
1604,278.063
1605,278.003
1606,277.957
1607,277.896
1608,277.821
1609,277.793
1610,277.76
1611,277.764
1612,277.756
1613,277.706
1614,277.636
1615,277.571
1616,277.497
1617,277.434
1618,277.359
1619,277.287
1620,277.219
1621,277.163
1622,277.091
1623,277.04
1624,276.995
1625,276.938
1626,276.882
1627,276.844
1628,276.796
1629,276.75
1630,276.715
1631,276.68
1632,276.653
1633,276.627
1634,276.605
1635,276.58
1636,276.553
1637,276.537
1638,276.518
1639,276.502
1640,276.49
1641,276.482
1642,276.473
1643,276.465
1644,276.453
1645,276.441
1646,276.435
1647,276.43
1648,276.423
1649,276.417
1650,276.408
1651,276.397
1652,276.399
1653,276.386
1654,276.371
1655,276.364
1656,276.359
1657,276.345
1658,276.332
1659,276.319
1660,276.308
1661,276.308
1662,276.295
1663,276.298
1664,276.285
1665,276.274
1666,276.272
1667,276.281
1668,276.285
1669,276.291
1670,276.305
1671,276.315
1672,276.332
1673,276.348
1674,276.368
1675,276.367
1676,276.387
1677,276.406
1678,276.438
1679,276.462
1680,276.505
1681,276.536
1682,276.569
1683,276.608
1684,276.634
1685,276.654
1686,276.677
1687,276.696
1688,276.71
1689,276.711
1690,276.728
1691,276.724
1692,276.73
1693,276.749
1694,276.747
1695,276.75
1696,276.739
1697,276.746
1698,276.748
1699,276.747
1700,276.746
1701,276.75
1702,276.758
1703,276.757
1704,276.755
1705,276.749
1706,276.743
1707,276.745
1708,276.739
1709,276.736
1710,276.741
1711,276.733
1712,276.731
1713,276.725
1714,276.723
1715,276.717
1716,276.716
1717,276.717
1718,276.71
1719,276.706
1720,276.695
1721,276.698
1722,276.701
1723,276.7
1724,276.708
1725,276.718
1726,276.719
1727,276.712
1728,276.707
1729,276.715
1730,276.723
1731,276.73
1732,276.733
1733,276.739
1734,276.753
1735,276.76
1736,276.773
1737,276.79
1738,276.812
1739,276.835
1740,276.855
1741,276.876
1742,276.901
1743,276.926
1744,276.953
1745,276.986
1746,277.014
1747,277.044
1748,277.08
1749,277.109
1750,277.147
1751,277.188
1752,277.229
1753,277.263
1754,277.304
1755,277.351
1756,277.389
1757,277.442
1758,277.489
1759,277.54
1760,277.605
1761,277.664
1762,277.732
1763,277.796
1764,277.859
1765,277.913
1766,277.958
1767,278.017
1768,278.078
1769,278.135
1770,278.194
1771,278.27
1772,278.334
1773,278.412
1774,278.491
1775,278.586
1776,278.683
1777,278.774
1778,278.866
1779,278.959
1780,279.054
1781,279.145
1782,279.243
1783,279.34
1784,279.434
1785,279.532
1786,279.629
1787,279.729
1788,279.831
1789,279.933
1790,280.037
1791,280.141
1792,280.241
1793,280.332
1794,280.415
1795,280.4919999
1796,280.5549999
1797,280.6229999
1798,280.6819999
1799,280.7529999
1800,280.8339999
1801,280.9189999
1802,280.9939999
1803,281.0729999
1804,281.1569999
1805,281.2339999
1806,281.3219999
1807,281.4089999
1808,281.4959999
1809,281.5659999
1810,281.6479999
1811,281.7179999
1812,281.7899999
1813,281.8579999
1814,281.9309999
1815,281.9919999
1816,282.0589999
1817,282.1269999
1818,282.1999999
1819,282.2719999
1820,282.3459999
1821,282.4149999
1822,282.4769999
1823,282.5399999
1824,282.6179999
1825,282.6759999
1826,282.6929999
1827,282.6929999
1828,282.7079999
1829,282.7609999
1830,282.8249999
1831,282.8909999
1832,282.9219999
1833,282.9659999
1834,283.0279999
1835,283.0859999
1836,283.1489999
1837,283.1979999
1838,283.2529999
1839,283.3109999
1840,283.3819999
1841,283.4669999
1842,283.5279999
1843,283.5659999
1844,283.6089999
1845,283.7249999
1846,283.8469999
1847,283.9359999
1848,284.0679999
1849,284.2069999
1850,284.3169999
1851,284.4509998
1852,284.5979998
1853,284.7309998
1854,284.8459998
1855,284.9409998
1856,285.0489998
1857,285.2039998
1858,285.3689998
1859,285.5449998
1860,285.7389997
1861,285.9329997
1862,286.0999997
1863,286.2709997
1864,286.4419997
1865,286.6139996
1866,286.7809996
1867,286.9549996
1868,287.1049996
1869,287.2249996
1870,287.3549996
1871,287.4939995
1872,287.6639995
1873,287.8599995
1874,288.0609995
1875,288.2909994
1876,288.5199994
1877,288.7519994
1878,288.9929994
1879,289.2209994
1880,289.4699993
1881,289.7369993
1882,290.0189993
1883,290.2629992
1884,290.5119992
1885,290.7969992
1886,291.0999992
1887,291.4139991
1888,291.7629991
1889,292.1129991
1890,292.457999
1891,292.815999
1892,293.1669989
1893,293.4769989
1894,293.7909989
1895,294.0789989
1896,294.3649988
1897,294.6459988
1898,294.9539987
1899,295.2999986
1900,295.6749984
1901,296.006998
1902,296.3249974
1903,296.6539968
1904,296.9539963
1905,297.2889957
1906,297.6619951
1907,298.0979945
1908,298.517994
1909,298.9359935
1910,299.3769929
1911,299.8289923
1912,300.3529917
1913,300.9099911
1914,301.4189908
1915,301.9369903
1916,302.4849897
1917,303.0109891
1918,303.4489886
1919,303.8139883
1920,304.2459877
1921,304.5999873
1922,304.9449868
1923,305.2709861
1924,305.6299855
1925,305.812985
1926,305.9539845
1927,306.1769839
1928,306.3289833
1929,306.4949827
1930,306.6199824
1931,306.8219821
1932,307.0929818
1933,307.4019813
1934,307.7849806
1935,308.22698
1936,309.0119793
1937,309.7639786
1938,310.2939782
1939,310.8509776
1940,311.3569769
1941,311.8109763
1942,312.1719757
1943,312.3899752
1944,312.4129748
1945,312.3849746
1946,312.389974
1947,312.4859732
1948,312.5209725
1949,312.6319721
1950,312.8209713
1951,313.0139706
1952,313.34197
1953,313.7299694
1954,314.0949688
1955,314.414968
1956,314.6979672
1957,314.9919665
1958,315.3449659
1959,315.8069651
1960,316.6249644
1961,317.2989638
1962,318.0439631
1963,318.6499622
1964,319.3329614
1965,319.8159605
1966,320.8799597
1967,321.4799589
1968,322.388958
1969,323.250957
1970,324.7829559
1971,325.399955
1972,327.3489541
1973,329.9089531
1974,330.7559525
1975,330.826952
1976,331.544951
1977,333.3529501
1978,335.0099494
1979,336.6049484
1980,338.7049479
1981,340.0589478
1982,340.6439474
1983,342.2659473
1984,344.0079495
1985,345.4589538
1986,346.9029481
1987,348.7749474
1988,351.2759329
1989,352.8939214
1990,354.0729301
1991,355.3529349
1992,356.2289489
1993,356.9249589
1994,358.2539622
1995,360.2389564
1996,362.0049615
1997,363.2519618
1998,365.932958
1999,367.8449748
2000,369.12498
2001,370.6729901
2002,372.8349943
2003,375.410995
2004,376.9870025
2005,378.907005
2006,381.010007
2007,382.6030247
2008,384.7390186
2009,386.280019
2010,388.7170293
2011,390.9440147
2012,393.0159927
2013,395.7249793
2014,397.5469769
2015,399.65
2016,403.09
2017,405.22
2018,407.62
2019,410.07
2020,412.45
